step,reward,turn_limit_count,other_exceed_count,empty_prediction_count,exceed_ratio_metric,response_clip_ratio,response_length_mean,response_length_max,num_turns_mean,num_turns_max,step_time_s,gen_time_s,old_log_prob_time_s,update_actor_time_s,throughput,actor_mfu,actor_infer_mfu,reason_counts
16,0.470703125,1,0,1,0.001953125,0.0,1729.7890625,15136.0,5.875,24,397.43633435759693,268.0464835483581,47.85770086944103,74.89775068126619,567.8381176818696,0.5319753532309551,0.30322509513277185,assistant_turn_limit_with_tool_call:1
17,0.478515625,1,0,1,0.001953125,0.0,1684.228515625,13615.0,5.53125,24,418.0419393470511,276.7015056470409,53.12877902574837,81.59093519113958,569.6979240216511,0.5091408767045339,0.30301661118048884,assistant_turn_limit_with_tool_call:1
18,0.458984375,1,0,1,0.001953125,0.001953125,1843.126953125,16384.0,5.75,24,404.2948030643165,265.08023615181446,51.6956293862313,80.79715250618756,604.2920244046126,0.5325337978635497,0.300940790375224,assistant_turn_limit_with_tool_call:1
19,0.41015625,2,0,2,0.00390625,0.041015625,2526.88671875,16384.0,5.6640625,24,457.81858086865395,307.23847510199994,55.35788041446358,88.7706104144454,635.0261045508072,0.5406981044049544,0.31284482664988006,assistant_turn_limit_with_tool_call:2
20,0.4375,4,0,4,0.0078125,0.0234375,2334.931640625,16384.0,6.078125,24,453.435913301073,300.57373238541186,56.49352868553251,87.21140554733574,606.7265889839895,0.5161461478051088,0.287275227633035,assistant_turn_limit_with_tool_call:4
21,0.4375,2,0,3,0.00390625,0.0,1409.279296875,11708.0,5.921875,24,374.25194075517356,244.43987288605422,50.472369021736085,72.25460982788354,542.471134793156,0.5174996659911603,0.2638059893065077,assistant_turn_limit_with_tool_call:2
22,0.474609375,2,0,2,0.00390625,0.0,1816.232421875,14124.0,5.93359375,24,433.8617299757898,291.71432707924396,55.59689755551517,79.91001887619495,553.422573162649,0.5373585921912429,0.25345651454408685,assistant_turn_limit_with_tool_call:2
23,0.51171875,5,0,4,0.009765625,0.03125,2771.7265625,16384.0,5.67578125,24,442.493766002357,293.99589215312153,52.04481937456876,89.8773890696466,668.4421854621664,0.5192680770777117,0.31453177527779363,assistant_turn_limit_with_tool_call:5
24,0.474609375,0,0,0,0.0,0.02734375,2492.431640625,16384.0,5.34765625,22,455.49917419813573,307.02006660494953,53.69042578525841,88.09201566688716,622.1803266688775,0.51337742334558,0.30757334616145177,none
25,0.46484375,1,0,1,0.001953125,0.0,1424.568359375,12273.0,5.37890625,24,385.9801724823192,268.0458064824343,43.20137990824878,68.19764741696417,522.7791202389889,0.5296323456326995,0.30498109283407043,assistant_turn_limit_with_tool_call:1
26,0.412109375,0,0,0,0.0,0.041015625,2682.029296875,16384.0,5.421875,18,450.39055592752993,303.9283052617684,52.66960515268147,87.15725129656494,639.7777910919712,0.5191678954504377,0.289463995323593,none
27,0.482421875,1,0,1,0.001953125,0.009765625,1664.234375,16384.0,5.796875,24,433.49130713008344,303.8417199663818,48.804148284718394,74.20238288398832,521.8582155607445,0.5345216851926242,0.2953513270928443,assistant_turn_limit_with_tool_call:1
28,0.53125,0,0,0,0.0,0.001953125,1449.12109375,16384.0,5.6875,24,398.17361547239125,276.59903228469193,46.653799790889025,68.19159636925906,499.70852479499945,0.5026027078798602,0.2428433675887992,none
29,0.43359375,2,1,2,0.005859375,0.056640625,2955.6171875,16384.0,5.63671875,24,470.27610768098384,314.5544992350042,57.80063173826784,91.08913887478411,675.4850922928252,0.5390813535334191,0.31488725688945424,assistant_turn_limit_with_tool_call:2;response_length_with_tool_call:1
30,0.44921875,4,0,4,0.0078125,0.03125,2247.55859375,16384.0,6.44140625,24,464.54079939983785,310.2914922265336,55.608414988964796,85.74697617068887,588.3051614693015,0.545122617837971,0.3135446882407117,assistant_turn_limit_with_tool_call:4
31,0.404296875,4,0,4,0.0078125,0.021484375,2126.9375,16384.0,5.98046875,24,438.0373492296785,302.38306402787566,49.06760465353727,80.0667772050947,575.8504393371707,0.5302447921115987,0.3044271617783109,assistant_turn_limit_with_tool_call:4
32,0.451171875,3,0,3,0.005859375,0.0,1570.908203125,12921.0,6.3125,24,395.17147122416645,255.37869246210903,51.53543064184487,81.65310443285853,582.4993496795804,0.5295785512957084,0.298241022358146,assistant_turn_limit_with_tool_call:3
33,0.46484375,5,0,5,0.009765625,0.033203125,3170.66796875,16384.0,6.09375,24,463.1708327298984,301.2296197153628,60.41430306714028,95.16057605203241,720.6968280635697,0.5307620984406921,0.3205569324077967,assistant_turn_limit_with_tool_call:5
34,0.46484375,2,0,2,0.00390625,0.0,1372.94140625,11558.0,6.10546875,24,392.6592657212168,259.124457613565,50.941744334064424,75.86328267864883,535.9487687460138,0.5598465276697367,0.29159694371112815,assistant_turn_limit_with_tool_call:2
35,0.4609375,1,0,1,0.001953125,0.01171875,1895.685546875,16384.0,6.04296875,24,426.46120013296604,292.89059956837445,50.00574103463441,76.89995123352855,558.0270254968127,0.5350560724220456,0.2949748863145439,assistant_turn_limit_with_tool_call:1
36,0.435546875,1,1,2,0.00390625,0.0234375,2570.505859375,16384.0,5.6640625,24,453.44166489411145,307.2401025323197,54.44651234988123,85.19686231389642,627.53689621012,0.532575342646215,0.3119914160134714,official_tool_response_would_exceed_response_length:1;assistant_turn_limit_with_tool_call:1
37,0.462890625,4,0,3,0.0078125,0.013671875,2034.6796875,16384.0,5.875,24,444.5575670655817,300.27241617813706,52.6948757795617,84.79507229011506,568.3662110799828,0.4971701693449125,0.30147625903317127,assistant_turn_limit_with_tool_call:4
38,0.423828125,1,0,1,0.001953125,0.021484375,1866.75390625,16384.0,5.94140625,24,437.8393563022837,297.1076482925564,52.60441101063043,81.21612229384482,559.5688155334567,0.5432497922193984,0.3000886350838238,assistant_turn_limit_with_tool_call:1
39,0.4296875,3,0,3,0.005859375,0.0,1589.548828125,14136.0,5.94921875,24,396.16883521620184,265.02715658582747,48.78087516594678,75.62297339830548,551.3031454905009,0.49260685323424624,0.2920022452089131,assistant_turn_limit_with_tool_call:3
40,0.466796875,2,0,2,0.00390625,0.0,1657.99609375,15714.0,6.03125,24,415.1421395903453,274.8246928518638,53.67395283468068,77.47183826658875,546.5664127084364,0.5272334993846577,0.24266670430938106,assistant_turn_limit_with_tool_call:2
41,0.458984375,3,0,3,0.005859375,0.005859375,1862.669921875,16384.0,6.1484375,24,442.4330063490197,287.50581580307335,61.33663246501237,86.749551624991,569.4283007476579,0.5424482382760734,0.2623804758037177,assistant_turn_limit_with_tool_call:3
42,0.45703125,3,0,3,0.005859375,0.005859375,1983.091796875,16384.0,5.7890625,24,451.9325957680121,311.64975252375007,52.62278965301812,80.8676209365949,556.8504625614182,0.5407201770575216,0.3060020908143906,assistant_turn_limit_with_tool_call:3
43,0.482421875,4,0,4,0.0078125,0.0,1368.203125,14365.0,6.03125,24,394.25293234270066,275.88117807358503,44.76866879686713,67.15251061227173,501.6728698115969,0.54283519280013,0.28985730893489065,assistant_turn_limit_with_tool_call:4
44,0.44140625,1,0,1,0.001953125,0.03125,2405.734375,16384.0,5.66015625,24,445.3878635438159,303.136045309715,51.951869167387486,83.85289337486029,616.6961933235949,0.5311350243286518,0.30857592146062907,assistant_turn_limit_with_tool_call:1
45,0.46875,2,0,2,0.00390625,0.00390625,1516.806640625,16384.0,5.82421875,24,398.91062983777374,277.76063065603375,45.38979599159211,69.28200382646173,524.40724651803,0.5393199054853584,0.29454372755197633,assistant_turn_limit_with_tool_call:2
46,0.44921875,4,0,4,0.0078125,0.00390625,1793.548828125,16384.0,6.3359375,24,439.69821895007044,300.07974935509264,53.446376292966306,79.78575256373733,550.8826612452241,0.5561344430057398,0.29539970125623144,assistant_turn_limit_with_tool_call:4
47,0.44921875,3,0,4,0.005859375,0.001953125,1494.44140625,16384.0,6.54296875,24,417.141818058677,281.36183385085315,50.52283054962754,78.30612509232014,531.6902798961336,0.5457797498171439,0.2950123550915375,assistant_turn_limit_with_tool_call:3
