step,score_mean,reward_mean,step_s,gen_s,response_len_mean,response_len_max,exceed_sample_ratio,accepted_groups,rejected_groups
27,0.455078125,0.455078125,387.9055930254981,259.69159616623074,1338.337890625,14990.0,0.037109375,64.0,35.0
28,0.4140625,0.4140625,465.04460905119777,303.34922892879695,2821.41796875,16384.0,0.033203125,64.0,52.0
29,0.37890625,0.37890625,441.8193968879059,297.5908129578456,2004.0078125,16384.0,0.046875,64.0,35.0
30,0.453125,0.453125,446.10187334008515,303.94499663822353,2417.0625,16384.0,0.0546875,64.0,50.0
31,0.435546875,0.435546875,465.40118931699544,317.48241523001343,2453.53125,16384.0,0.02734375,64.0,54.0
32,0.451171875,0.451171875,466.03082725498825,313.24117443244904,2370.40234375,16384.0,0.0390625,64.0,54.0
33,0.49609375,0.49609375,406.17233325354755,279.23846607655287,1544.08984375,13711.0,0.029296875,64.0,48.0
34,0.384765625,0.384765625,440.0505610629916,294.1838430520147,1788.455078125,16384.0,0.046875,64.0,43.0
35,0.5,0.5,434.4020939581096,304.99183280486614,1880.27734375,16384.0,0.015625,64.0,53.0
36,0.466796875,0.466796875,456.182144286111,306.84079623874277,2302.521484375,16384.0,0.03125,64.0,51.0
37,0.455078125,0.455078125,411.3001050343737,271.77753796614707,1510.779296875,16384.0,0.029296875,64.0,47.0
38,0.439453125,0.439453125,429.15859302226454,296.2370426664129,1907.58984375,16384.0,0.02734375,64.0,44.0
39,0.447265625,0.447265625,442.7504150606692,298.5619894750416,2216.955078125,16384.0,0.0234375,64.0,46.0
40,0.50390625,0.50390625,455.73501564748585,311.28431692905724,2216.439453125,16384.0,0.060546875,64.0,54.0
41,0.390625,0.390625,429.90942618157715,278.04203636944294,1518.455078125,16384.0,0.046875,64.0,50.0
42,0.455078125,0.455078125,398.12618885189295,269.1360490815714,1804.146484375,16384.0,0.037109375,64.0,32.0
43,0.470703125,0.470703125,417.0077284825966,291.57286816090345,1606.697265625,16384.0,0.029296875,64.0,42.0
44,0.544921875,0.544921875,429.1721679661423,305.7142747687176,1912.423828125,16384.0,0.0234375,64.0,56.0
45,0.412109375,0.412109375,441.82479636836797,297.8565751761198,1750.62890625,16384.0,0.029296875,64.0,71.0
46,0.474609375,0.474609375,435.3913914868608,297.0209617204964,2070.150390625,16384.0,0.03515625,64.0,59.0
47,0.5,0.5,383.55152719654143,252.3218247955665,1379.8203125,15495.0,0.04296875,64.0,35.0
48,0.455078125,0.455078125,391.35974012315273,265.80800919700414,1521.80078125,13896.0,0.03515625,64.0,51.0
49,0.396484375,0.396484375,440.12286061421037,299.583062116988,2229.986328125,16384.0,0.046875,64.0,42.0
50,0.470703125,0.470703125,441.4470711648464,291.18980423454195,1952.3828125,16384.0,0.05078125,64.0,59.0
51,0.38671875,0.38671875,425.6706660753116,282.8564555021003,1451.533203125,16384.0,0.060546875,64.0,38.0
52,0.41796875,0.41796875,387.00182914268225,252.77160824090242,1266.763671875,13354.0,0.046875,64.0,38.0
53,0.474609375,0.474609375,414.00202136766165,277.1413617823273,1579.890625,16384.0,0.046875,64.0,42.0
54,0.462890625,0.462890625,421.3778533479199,283.9059129524976,1812.576171875,16384.0,0.048828125,64.0,39.0
55,0.4375,0.4375,421.72007342334837,283.50733698904514,1782.9140625,16384.0,0.052734375,64.0,36.0
56,0.48828125,0.48828125,443.44492886029184,303.261865994893,2033.65234375,16384.0,0.041015625,64.0,49.0
57,0.4296875,0.4296875,429.8137173075229,296.50724213570356,1923.373046875,16384.0,0.041015625,64.0,42.0
58,0.45703125,0.45703125,422.29964198637754,282.56720429006964,1708.82421875,16384.0,0.052734375,64.0,47.0
59,0.478515625,0.478515625,409.1310040829703,284.03839812334627,1403.767578125,16384.0,0.052734375,64.0,47.0
60,0.43359375,0.43359375,454.7615299364552,298.48888975102454,1899.984375,16384.0,0.0625,64.0,53.0
61,0.443359375,0.443359375,394.96952369157225,269.5415106974542,1234.275390625,13678.0,0.044921875,64.0,39.0
62,0.498046875,0.498046875,410.51278519723564,276.2889988068491,1537.513671875,16384.0,0.060546875,64.0,49.0
63,0.3671875,0.3671875,413.6972236018628,276.0934657882899,1721.3515625,16384.0,0.068359375,64.0,40.0
64,0.48046875,0.48046875,427.0565660269931,278.9058483224362,2145.91015625,16384.0,0.052734375,64.0,48.0
65,0.517578125,0.517578125,440.6716936919838,287.1506084147841,1935.630859375,16384.0,0.068359375,64.0,50.0
66,0.453125,0.453125,381.3045516498387,258.44270154833794,1177.560546875,12544.0,0.056640625,64.0,40.0
67,0.48046875,0.48046875,390.8812547568232,262.86942806094885,1471.1171875,16384.0,0.04296875,64.0,34.0
68,0.515625,0.515625,419.44166918005794,277.8583968458697,1452.755859375,16384.0,0.05859375,64.0,35.0
69,0.47265625,0.47265625,357.0255667036399,233.56090490240604,1419.73046875,13239.0,0.0703125,64.0,37.0
70,0.45703125,0.45703125,420.4793017366901,267.7421824056655,2097.978515625,16384.0,0.06640625,64.0,39.0
71,0.494140625,0.494140625,363.5682017309591,230.0202106013894,1272.609375,13580.0,0.080078125,64.0,32.0
72,0.427734375,0.427734375,414.0814753482118,267.41967175528407,1835.181640625,16384.0,0.064453125,64.0,44.0
73,0.42578125,0.42578125,376.43805329781026,239.36010792013258,1232.240234375,13103.0,0.08203125,64.0,40.0
74,0.4296875,0.4296875,348.97480572294444,223.62402249779552,1048.265625,9067.0,0.068359375,64.0,38.0
75,0.3984375,0.3984375,364.28361810185015,240.09108421113342,1112.099609375,16384.0,0.099609375,64.0,35.0
76,0.45703125,0.45703125,392.5101981712505,247.11833481211215,1718.091796875,16384.0,0.099609375,64.0,32.0
77,0.396484375,0.396484375,385.7153433589265,250.08903847634792,1544.408203125,16384.0,0.111328125,64.0,39.0
78,0.419921875,0.419921875,391.22316716611385,250.183029406704,1410.611328125,16384.0,0.0703125,64.0,43.0
79,0.44140625,0.44140625,381.4679714329541,245.26093719433993,1798.638671875,16384.0,0.08984375,64.0,42.0
80,0.419921875,0.419921875,321.58310141041875,199.29318945016712,1125.78515625,10441.0,0.10546875,64.0,34.0
81,0.419921875,0.419921875,352.9736285433173,220.5008870009333,1187.5703125,15261.0,0.103515625,64.0,39.0
82,0.443359375,0.443359375,390.31692169141024,248.206666842103,1584.666015625,16384.0,0.10546875,64.0,47.0
83,0.435546875,0.435546875,359.8741042399779,223.77577636763453,1214.150390625,16384.0,0.115234375,64.0,27.0
84,0.443359375,0.443359375,349.87636257056147,230.00836234446615,1101.205078125,16384.0,0.10546875,64.0,40.0
85,0.45703125,0.45703125,345.1010901071131,220.69325946830213,1073.9609375,14561.0,0.123046875,64.0,36.0
86,0.474609375,0.474609375,357.62221913971007,232.73504169564694,1064.896484375,16384.0,0.1015625,64.0,41.0
87,0.47265625,0.47265625,383.154412439093,239.09259352460504,1763.109375,16384.0,0.111328125,64.0,42.0
88,0.3984375,0.3984375,354.2983281034976,231.87490973062813,1026.173828125,13538.0,0.16796875,64.0,38.0
89,0.453125,0.453125,386.0721141109243,240.51681658625603,1564.76171875,16384.0,0.1640625,64.0,37.0
90,0.4609375,0.4609375,337.4262304296717,219.9840573221445,1014.634765625,11152.0,0.16015625,64.0,46.0
91,0.41015625,0.41015625,359.37388893868774,224.15817902609706,1280.05078125,16384.0,0.201171875,64.0,18.0
92,0.466796875,0.466796875,363.4184139901772,234.67675261758268,1185.3984375,16384.0,0.138671875,64.0,49.0
93,0.40625,0.40625,378.84426580928266,242.50509145483375,1722.46875,16384.0,0.228515625,64.0,37.0
94,0.388671875,0.388671875,393.8876401623711,248.93859611451626,1617.630859375,16384.0,0.208984375,64.0,41.0
95,0.41015625,0.41015625,362.1531196711585,237.32121193874627,1352.6875,16384.0,0.220703125,64.0,40.0
96,0.40625,0.40625,367.9959708750248,240.46454823203385,1556.794921875,16384.0,0.236328125,64.0,32.0
97,0.412109375,0.412109375,385.394090667367,242.88205518573523,1697.93359375,16384.0,0.21484375,64.0,37.0
98,0.33984375,0.33984375,448.73395119886845,288.268654669635,2478.26953125,16384.0,0.302734375,64.0,49.0
99,0.400390625,0.400390625,394.32909286860377,245.58245831541717,1705.041015625,16384.0,0.25,64.0,32.0
100,0.416015625,0.416015625,381.99435298051685,242.0060114916414,1625.490234375,16384.0,0.279296875,64.0,34.0
101,0.45703125,0.45703125,387.34763516578823,258.273963582702,1757.875,16384.0,0.240234375,64.0,44.0
102,0.341796875,0.341796875,457.94163097348064,309.2293710121885,2285.283203125,16384.0,0.30078125,64.0,63.0
103,0.36328125,0.36328125,400.91748752072453,262.74633605312556,1844.42578125,16384.0,0.265625,64.0,47.0
104,0.34375,0.34375,431.219351997599,272.6830770522356,2803.85546875,16384.0,0.27734375,64.0,49.0
105,0.337890625,0.337890625,416.2770388396457,262.1754872696474,2174.923828125,16384.0,0.33203125,64.0,42.0
106,0.357421875,0.357421875,448.1002034768462,281.627709149383,2485.365234375,16384.0,0.341796875,64.0,57.0
107,0.4140625,0.4140625,408.92163513135165,265.13693938590586,2127.728515625,16384.0,0.287109375,64.0,46.0
108,0.39453125,0.39453125,421.5034234691411,281.6588103752583,2160.228515625,16384.0,0.28125,64.0,57.0
109,0.3359375,0.3359375,441.20190069265664,286.34318096842617,3110.169921875,16384.0,0.349609375,64.0,42.0
110,0.4375,0.4375,443.14400484692305,282.59432392567396,2655.015625,16384.0,0.287109375,64.0,47.0
111,0.349609375,0.349609375,483.5006854236126,315.3531346898526,3255.412109375,16384.0,0.333984375,64.0,56.0
112,0.392578125,0.392578125,440.3986488925293,299.79811285436153,2751.396484375,16384.0,0.333984375,64.0,77.0
113,0.376953125,0.376953125,458.4635677235201,305.23596559278667,2770.78125,16384.0,0.33203125,64.0,53.0
114,0.369140625,0.369140625,441.65396506804973,287.68515188619494,2874.583984375,16384.0,0.3515625,64.0,41.0
115,0.369140625,0.369140625,457.61140805110335,296.93272710964084,3204.90234375,16384.0,0.353515625,64.0,51.0
116,0.30859375,0.30859375,506.38511007092893,326.17355247214437,3893.16796875,16384.0,0.32421875,64.0,71.0
117,0.326171875,0.326171875,474.83248073607683,305.21688449103385,3626.287109375,16384.0,0.37890625,64.0,54.0
118,0.365234375,0.365234375,479.5658361008391,322.1982000544667,3822.751953125,16384.0,0.33203125,64.0,72.0
119,0.35546875,0.35546875,459.5527062928304,293.366972129792,3773.37109375,16384.0,0.353515625,64.0,35.0
120,0.287109375,0.287109375,500.69503257330507,325.47416863497347,3875.216796875,16384.0,0.36328125,64.0,57.0
121,0.314453125,0.314453125,488.9791984613985,314.94307777658105,4153.099609375,16384.0,0.40234375,64.0,53.0
122,0.38671875,0.38671875,472.79299885127693,319.2124946657568,3969.080078125,16384.0,0.2890625,64.0,59.0
123,0.341796875,0.341796875,545.6234380630776,370.2938244380057,4458.392578125,16384.0,0.341796875,64.0,84.0
124,0.328125,0.328125,528.8716196315363,340.77455549128354,4550.859375,16384.0,0.34765625,64.0,64.0
125,0.33984375,0.33984375,523.0828331401572,352.7223482467234,4610.080078125,16384.0,0.33203125,64.0,86.0
126,0.369140625,0.369140625,454.6059823241085,301.7591696996242,4282.072265625,16384.0,0.271484375,64.0,31.0
127,0.349609375,0.349609375,512.0465390644968,338.8073337674141,4527.59375,16384.0,0.28125,64.0,45.0
128,0.353515625,0.353515625,541.5371159501374,362.2239720290527,4852.53515625,16384.0,0.314453125,64.0,61.0
129,0.318359375,0.318359375,534.8772658128291,338.3240588568151,5064.763671875,16384.0,0.28515625,64.0,67.0
130,0.361328125,0.361328125,536.4696304295212,353.7364923506975,5304.443359375,16384.0,0.265625,64.0,70.0
